Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,Bp,Bt,UVl,UVi,R,G,B,Vl,Il,LUX,T,P,BAlt,H:M:S.ms,DD/MM/20YY,Fix,FixQ,Lat,Long,LatD,LongD,Speed,Angle,GAlt,Sats
-0.75,-4.82,8.83,23.64,14.55,-29.39,0.16,0.05,-0.01,1008.73,19.50,674,18.90,65535,65535,65535,65535,65535,0.00,19.51,1008.71,1231.98,0:20:39.799,6/1/2080,0,0,,,,,,,,,
-0.86,-5.53,8.47,21.91,15.73,-30.00,0.13,0.08,0.45,1008.67,19.50,669,18.70,28022,32841,41683,22977,8869,5164.01,19.55,1008.83,1232.12,0:20:40.799,6/1/2080,0,0,,,,,,,,,
-1.14,-4.28,8.59,26.91,17.00,-25.00,0.19,-0.17,-0.35,1008.74,19.50,674,18.90,65535,64782,65535,65535,65535,0.00,19.55,1008.38,1231.57,0:20:41.799,6/1/2080,0,0,,,,,,,,,
-0.86,-5.14,8.63,0.00,0.00,0.00,0.20,0.01,0.07,1008.78,19.60,674,18.90,34852,50306,50338,65535,65535,0.00,19.57,1008.88,1232.18,0:20:42.799,6/1/2080,0,0,,,,,,,,,
-1.33,-5.33,8.75,26.18,17.09,-25.82,0.17,0.01,-0.04,1008.72,19.60,669,18.70,39761,56757,53289,65535,65535,0.00,19.57,1008.85,1232.15,0:20:43.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.90,8.71,25.82,17.09,-26.22,0.16,0.02,0.02,1008.43,19.60,670,18.74,40651,55874,52985,65535,65535,0.00,19.57,1008.40,1231.59,0:20:44.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.41,8.47,26.09,17.45,-25.82,0.17,0.01,0.01,1008.43,18.10,670,18.74,36227,51672,50538,65535,65535,0.00,19.57,1008.42,1231.61,0:20:45.799,6/1/2080,0,0,,,,,,,,,
-1.10,-5.06,8.32,26.09,17.64,-25.61,0.15,0.03,0.00,1008.36,18.10,670,18.74,39115,56085,52676,65535,65535,0.00,18.16,1004.22,1226.48,0:20:46.799,6/1/2080,0,0,,,,,,,,,
-1.10,-5.14,8.51,25.45,17.55,-25.71,0.18,0.01,-0.01,1008.34,18.10,671,18.78,40211,56225,53201,65535,65535,0.00,18.14,1004.17,1226.42,0:20:47.799,6/1/2080,0,0,,,,,,,,,
-1.10,-5.14,8.55,25.82,17.73,-26.02,0.17,0.00,-0.01,1004.17,18.20,670,18.74,39606,56346,52980,65535,65535,0.00,18.16,1004.21,1226.48,0:20:49.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.06,8.75,25.64,17.36,-25.92,0.20,-0.01,0.00,1008.43,18.20,669,18.74,36616,51862,51175,65535,65535,0.00,18.19,1004.51,1226.85,0:20:50.799,6/1/2080,0,0,,,,,,,,,
-1.06,-5.06,8.59,26.00,17.82,-25.71,0.18,-0.01,0.02,1004.19,18.20,670,18.74,35168,50247,50376,65535,65535,0.00,18.19,1004.30,1226.59,0:20:51.799,6/1/2080,0,0,,,,,,,,,
-1.10,-4.94,8.59,26.00,17.45,-25.71,0.13,-0.00,0.06,1004.22,18.20,671,18.78,34719,49332,49564,65535,65535,0.00,18.19,1004.48,1226.81,0:20:52.799,6/1/2080,0,0,,,,,,,,,
-1.22,-5.02,8.55,25.91,17.73,-25.51,0.18,0.01,0.01,1004.21,18.20,669,18.70,35390,50530,50019,65535,65535,0.00,18.20,1004.33,1226.62,0:20:53.799,6/1/2080,0,0,,,,,,,,,
-1.14,-5.06,8.59,25.82,17.64,-25.82,0.17,0.00,0.00,1004.17,18.20,670,18.74,36460,51476,50723,65535,65535,0.00,18.20,1004.34,1226.64,0:20:54.799,6/1/2080,0,0,,,,,,,,,
-1.14,-5.06,8.55,25.73,17.55,-25.71,0.18,-0.01,0.02,1004.37,18.20,672,18.82,36791,51189,52094,65535,65535,0.00,18.21,1004.37,1226.67,0:20:55.799,6/1/2080,0,0,,,,,,,,,
-1.22,-5.02,8.67,25.73,17.55,-26.12,0.17,0.04,-0.05,1004.29,18.20,673,18.86,41781,59276,55984,65535,65535,0.00,18.22,1004.40,1226.71,0:20:56.799,6/1/2080,0,0,,,,,,,,,
-1.22,-5.06,8.59,26.09,17.64,-25.51,0.19,0.03,-0.03,1004.29,18.20,673,18.86,38260,55644,51237,65535,65535,0.00,18.19,1004.29,1226.58,0:20:57.799,6/1/2080,0,0,,,,,,,,,
-1.18,-5.10,8.59,26.00,17.27,-25.82,0.17,0.02,-0.02,1004.19,18.20,674,18.90,39672,54973,52976,65535,65535,0.00,18.19,1004.46,1226.78,0:20:58.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.22,8.55,26.00,17.64,-25.92,0.18,-0.01,0.02,1004.21,18.20,671,18.78,37968,53012,51945,65535,65535,0.00,18.21,1004.40,1226.71,0:21:0.799,6/1/2080,0,0,,,,,,,,,
-1.14,-5.10,8.55,25.91,17.45,-25.92,0.17,0.02,-0.01,1004.21,18.20,672,18.82,39679,56364,52956,65535,65535,0.00,18.21,1004.47,1226.79,0:21:1.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.10,8.67,26.00,17.55,-25.82,0.15,0.01,0.01,1004.29,18.20,672,18.82,39016,54320,52220,65535,65535,0.00,18.23,1004.50,1226.83,0:21:2.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.18,8.55,26.00,18.18,-25.00,0.18,0.00,-0.01,1004.44,18.20,672,18.82,35402,50781,49898,65535,65535,0.00,18.24,1004.51,1226.85,0:21:3.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.14,8.63,26.27,18.00,-25.41,0.17,0.00,-0.01,1004.29,18.10,670,18.74,32916,47815,47833,65535,65535,0.00,18.24,1004.45,1226.77,0:21:4.799,6/1/2080,0,0,,,,,,,,,
-1.22,-5.06,8.59,25.82,17.64,-25.71,0.17,0.00,0.01,1004.49,18.20,672,18.82,34186,48606,47601,65535,65535,0.00,18.25,1004.49,1226.82,0:21:5.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.10,8.63,25.73,17.64,-25.82,0.17,0.01,-0.03,1004.43,18.10,671,18.78,36205,51953,50285,65535,65535,0.00,18.13,1004.56,1226.90,0:21:6.799,6/1/2080,0,0,,,,,,,,,
-1.18,-5.10,8.59,25.91,17.64,-25.92,0.17,0.00,0.01,1004.16,18.10,672,18.82,37516,54737,51948,65535,65535,0.00,18.13,1004.62,1226.97,0:21:7.799,6/1/2080,0,0,,,,,,,,,
-1.33,-5.14,8.39,26.27,18.00,-25.31,0.16,0.00,0.01,1004.91,18.20,671,18.78,35361,50292,49999,65535,65535,0.00,18.28,1004.95,1227.38,0:21:8.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.14,8.59,26.09,17.82,-25.51,0.17,0.01,0.01,1004.89,18.30,672,18.82,36145,51161,50938,65535,65535,0.00,18.13,1004.45,1226.77,0:21:9.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.26,8.55,26.00,18.09,-25.51,0.17,-0.00,0.01,1004.87,18.30,672,18.82,36232,51190,50796,65535,65535,0.00,18.30,1005.00,1227.44,0:21:11.799,6/1/2080,0,0,,,,,,,,,
-1.26,-5.18,8.63,26.00,17.73,-25.51,0.17,0.00,0.01,1004.85,18.30,671,18.78,36156,51289,50912,65535,65535,0.00,18.13,1004.49,1226.82,0:21:12.799,6/1/2080,0,0,,,,,,,,,
-1.29,-5.10,8.55,26.09,17.91,-25.31,0.18,0.01,-0.00,1004.90,18.10,670,18.70,36167,51387,50937,65535,65535,0.00,18.13,1004.50,1226.83,0:21:13.799,6/1/2080,0,0,,,,,,,,,
-1.33,-5.22,8.47,26.55,18.27,-25.20,0.17,0.02,-0.02,1004.89,18.10,670,18.74,35606,50956,50714,65535,65535,0.00,18.13,1004.39,1226.69,0:21:14.799,6/1/2080,0,0,,,,,,,,,
-1.22,-5.14,8.59,26.36,17.82,-25.51,0.18,0.01,-0.00,1004.96,18.30,671,18.78,34037,48895,49410,65535,65535,0.00,18.33,1004.96,1227.39,0:21:15.799,6/1/2080,0,0,,,,,,,,,
-1.33,-5.10,8.67,26.00,17.82,-25.41,0.15,0.01,0.01,1004.97,18.10,672,18.82,35417,50490,50393,65535,65535,0.00,18.13,1004.38,1226.69,0:21:16.799,6/1/2080,0,0,,,,,,,,,
-1.53,-5.02,8.75,0.00,0.00,0.00,0.16,0.04,0.01,1004.92,18.10,674,18.90,34247,49696,49857,65535,65535,0.00,18.15,1004.47,1226.80,0:21:17.799,6/1/2080,0,0,,,,,,,,,
-2.24,-5.77,6.79,29.18,21.45,-20.10,-0.15,-0.14,0.03,1004.48,18.10,670,18.74,41015,53366,53077,65535,65535,0.00,18.15,1004.47,1226.80,0:21:18.799,6/1/2080,0,0,,,,,,,,,
-2.20,-3.80,9.34,27.64,10.45,-26.94,0.17,-0.14,0.34,1004.46,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.13,1004.37,1226.68,0:21:19.799,6/1/2080,0,0,,,,,,,,,
-2.08,-3.92,9.41,28.00,10.73,-26.43,0.13,-0.16,-0.00,1004.94,18.10,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.00,1227.45,0:21:20.799,6/1/2080,0,0,,,,,,,,,
-1.77,-4.90,9.10,27.55,13.09,-26.33,0.18,-0.07,0.10,1004.36,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1004.88,1227.29,0:21:22.799,6/1/2080,0,0,,,,,,,,,
-1.77,-4.51,8.90,27.09,12.55,-26.63,0.16,0.02,-0.04,1004.42,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1004.81,1227.21,0:21:23.799,6/1/2080,0,0,,,,,,,,,
-1.77,-4.55,8.83,27.64,12.27,-26.63,0.19,0.03,-0.02,1004.40,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.15,1004.29,1226.58,0:21:24.799,6/1/2080,0,0,,,,,,,,,
-1.80,-4.63,8.75,27.45,11.91,-26.84,0.17,-0.01,0.03,1004.42,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1004.98,1227.41,0:21:25.799,6/1/2080,0,0,,,,,,,,,
-1.88,-4.63,8.98,27.45,12.73,-26.43,0.13,-0.03,0.05,1005.02,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1004.90,1227.32,0:21:26.799,6/1/2080,0,0,,,,,,,,,
-1.77,-4.55,9.02,27.55,12.36,-26.53,0.18,0.03,-0.03,1004.94,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1004.80,1227.19,0:21:27.799,6/1/2080,0,0,,,,,,,,,
-1.77,-4.63,8.90,26.82,12.09,-26.94,0.17,0.02,0.01,1004.79,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1004.83,1227.24,0:21:28.799,6/1/2080,0,0,,,,,,,,,
-1.80,-4.55,8.94,27.36,11.91,-26.94,0.18,0.01,-0.01,1004.89,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1004.76,1227.15,0:21:29.799,6/1/2080,0,0,,,,,,,,,
-1.61,-4.63,8.94,27.36,11.91,-27.04,0.17,0.01,-0.01,1004.78,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1004.76,1227.15,0:21:30.799,6/1/2080,0,0,,,,,,,,,
-1.73,-4.59,8.79,27.36,12.18,-27.14,0.18,0.01,-0.01,1004.76,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.37,1005.21,1227.70,0:21:31.799,6/1/2080,0,0,,,,,,,,,
-1.88,-4.51,9.02,27.18,11.73,-26.94,0.17,0.02,0.00,1004.77,18.40,673,18.86,65535,65535,65535,65535,65535,0.00,18.34,1005.04,1227.49,0:21:33.799,6/1/2080,0,0,,,,,,,,,
-1.69,-4.59,9.02,27.00,12.09,-26.53,0.16,0.02,0.03,1004.76,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.37,1005.20,1227.68,0:21:34.799,6/1/2080,0,0,,,,,,,,,
-1.69,-4.67,8.87,27.18,12.00,-27.04,0.20,0.01,-0.02,1005.09,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1005.05,1227.50,0:21:35.799,6/1/2080,0,0,,,,,,,,,
-1.57,-4.43,8.98,26.55,12.27,-27.55,0.15,-0.05,-0.01,1005.17,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.38,1005.10,1227.56,0:21:36.799,6/1/2080,0,0,,,,,,,,,
-1.37,-4.31,8.94,26.27,12.55,-28.37,0.31,0.02,0.06,1005.18,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.12,1227.58,0:21:37.799,6/1/2080,0,0,,,,,,,,,
-1.65,-4.16,9.34,25.45,10.00,-28.78,0.15,0.11,-0.03,1005.13,18.30,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1005.13,1227.59,0:21:38.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.35,8.90,25.82,11.18,-28.06,0.18,0.07,-0.09,1005.03,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.07,1227.53,0:21:39.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.31,8.98,25.82,11.09,-28.67,0.19,0.00,-0.03,1005.19,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.03,1227.47,0:21:40.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.24,8.98,25.45,11.00,-28.67,0.17,-0.02,0.02,1005.07,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.01,1227.46,0:21:41.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.43,8.98,25.36,11.09,-29.18,0.17,0.01,-0.00,1005.14,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.34,1005.02,1227.46,0:21:42.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.43,9.14,25.45,11.09,-28.67,0.19,0.00,-0.01,1005.10,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.36,1004.81,1227.21,0:21:44.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.43,9.06,25.64,11.27,-28.57,0.17,0.01,-0.01,1004.86,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.37,1004.92,1227.34,0:21:45.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.35,9.10,25.55,11.00,-29.29,0.17,0.01,0.01,1004.82,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.42,1227.95,0:21:46.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.39,9.14,25.36,10.73,-28.98,0.18,0.02,-0.01,1004.83,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.57,1005.45,1227.99,0:21:47.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.47,9.02,25.36,11.09,-28.78,0.18,-0.01,-0.00,1004.84,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.50,1228.05,0:21:48.799,6/1/2080,0,0,,,,,,,,,
-1.37,-4.39,9.10,25.27,10.82,-28.98,0.17,0.01,0.00,1005.15,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.56,1005.46,1228.01,0:21:49.799,6/1/2080,0,0,,,,,,,,,
-1.37,-4.43,9.10,25.00,11.36,-29.08,0.17,-0.03,0.04,1005.00,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.38,1004.88,1227.29,0:21:50.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.35,9.02,25.09,11.09,-29.08,0.18,0.02,0.00,1005.07,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.38,1227.90,0:21:51.799,6/1/2080,0,0,,,,,,,,,
-1.37,-4.39,9.06,24.91,11.09,-28.98,0.17,0.01,-0.01,1004.82,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.38,1227.90,0:21:52.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.39,8.94,24.82,10.91,-29.08,0.17,0.01,0.01,1004.82,18.40,674,18.90,65535,65535,65535,65535,65535,0.00,18.40,1004.91,1227.34,0:21:53.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.43,9.10,25.00,11.18,-29.18,0.17,-0.00,-0.01,1004.82,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.45,1227.99,0:21:55.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.35,9.18,25.00,11.00,-28.98,0.18,0.00,0.01,1004.85,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.57,1005.53,1228.09,0:21:56.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.24,8.98,25.18,11.00,-28.88,0.17,0.02,-0.01,1005.45,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.39,1227.92,0:21:57.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.43,8.94,25.18,10.91,-28.78,0.15,0.03,-0.01,1004.90,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.39,1227.92,0:21:58.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.43,9.10,25.18,10.91,-28.98,0.17,0.00,0.00,1004.83,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.39,1227.91,0:21:59.799,6/1/2080,0,0,,,,,,,,,
-1.22,-4.43,8.98,25.45,11.09,-28.98,0.17,0.00,0.00,1004.94,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.41,1227.94,0:22:0.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.28,9.02,24.91,10.91,-28.98,0.17,0.01,-0.01,1005.41,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.44,1227.98,0:22:1.799,6/1/2080,0,0,,,,,,,,,
-1.22,-4.35,9.14,25.00,11.09,-29.49,0.17,0.00,-0.02,1005.39,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.61,1005.57,1228.14,0:22:2.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.31,9.02,25.00,11.09,-29.18,0.16,0.01,0.01,1005.45,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.57,1005.72,1228.32,0:22:3.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.35,9.06,25.36,11.09,-29.29,0.18,0.00,-0.00,1005.42,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.61,1005.79,1228.40,0:22:4.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.35,9.18,24.91,11.09,-29.08,0.17,-0.00,0.00,1005.72,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.62,1005.83,1228.45,0:22:6.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.39,9.18,25.09,11.00,-29.18,0.19,-0.01,0.01,1005.71,18.60,673,18.86,65535,65535,65535,65535,65535,0.00,18.63,1005.70,1228.30,0:22:7.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.39,9.10,25.18,11.27,-28.88,0.17,0.02,-0.02,1005.78,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.63,1005.85,1228.48,0:22:8.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.28,9.18,25.55,10.82,-29.08,0.17,0.01,-0.01,1005.78,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.55,1005.42,1227.95,0:22:9.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.28,9.18,25.09,11.09,-28.98,0.18,0.00,0.00,1005.63,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.57,1005.44,1227.98,0:22:10.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.31,8.90,24.91,11.09,-29.29,0.16,0.01,0.00,1005.61,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.58,1005.68,1228.27,0:22:11.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.24,9.10,24.82,10.91,-29.08,0.17,0.01,0.01,1005.37,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.61,1005.73,1228.33,0:22:12.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.24,9.02,25.09,11.09,-29.18,0.18,0.01,0.00,1005.58,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.61,1005.59,1228.17,0:22:13.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.35,9.10,24.91,10.82,-29.49,0.18,0.00,0.01,1005.66,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.62,1005.64,1228.22,0:22:14.799,6/1/2080,0,0,,,,,,,,,
-1.18,-4.24,9.06,25.09,10.64,-29.29,0.17,0.01,0.01,1005.52,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.61,1005.53,1228.09,0:22:15.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.35,9.14,25.09,11.09,-28.98,0.17,0.01,0.00,1005.49,18.60,673,18.86,65535,65535,65535,65535,65535,0.00,18.64,1005.67,1228.26,0:22:17.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.31,8.90,25.27,11.36,-28.98,0.17,0.01,-0.01,1005.66,18.60,674,18.90,65535,65535,65535,65535,65535,0.00,18.76,1006.06,1228.74,0:22:18.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.35,9.14,24.91,11.27,-28.78,0.17,-0.01,0.01,1005.64,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.76,1006.00,1228.67,0:22:19.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.39,9.18,25.55,11.09,-28.88,0.17,0.01,0.01,1005.62,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.78,1006.18,1228.88,0:22:20.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.31,9.06,25.09,11.18,-28.78,0.18,-0.00,-0.00,1006.02,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.79,1006.23,1228.95,0:22:21.799,6/1/2080,0,0,,,,,,,,,
-1.26,-4.47,9.18,25.09,11.00,-29.08,0.17,0.02,-0.01,1006.14,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.79,1006.21,1228.92,0:22:22.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.35,9.14,25.36,11.27,-28.98,0.19,-0.00,0.03,1006.29,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.82,1006.20,1228.90,0:22:23.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.47,8.90,26.00,11.73,-28.37,0.15,-0.00,0.03,1006.25,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.83,1006.21,1228.92,0:22:24.799,6/1/2080,0,0,,,,,,,,,
-1.57,-4.35,9.06,25.73,11.55,-28.27,0.18,-0.01,0.03,1006.18,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.86,1006.39,1229.14,0:22:25.799,6/1/2080,0,0,,,,,,,,,
-1.57,-4.43,8.98,26.00,11.82,-28.16,0.17,0.02,-0.03,1006.22,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.44,1229.21,0:22:26.799,6/1/2080,0,0,,,,,,,,,
-1.45,-4.47,8.98,25.73,11.82,-28.27,0.18,0.01,0.00,1006.23,18.80,674,18.90,65535,65535,65535,65535,65535,0.00,18.78,1006.18,1228.88,0:22:28.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.47,9.06,25.82,11.82,-27.96,0.17,0.01,-0.01,1006.27,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.43,1229.19,0:22:29.799,6/1/2080,0,0,,,,,,,,,
-1.45,-4.47,8.79,25.73,11.55,-28.37,0.17,0.01,-0.01,1006.13,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.33,1229.06,0:22:30.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.51,8.98,25.64,11.73,-28.16,0.18,0.00,-0.01,1006.42,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.40,1229.15,0:22:31.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.43,9.02,25.64,11.36,-28.57,0.17,0.01,0.00,1006.33,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.34,1229.07,0:22:32.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.55,9.02,25.73,11.82,-28.27,0.16,0.01,-0.01,1006.43,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.32,1229.05,0:22:33.799,6/1/2080,0,0,,,,,,,,,
-1.41,-4.43,8.98,25.64,11.27,-28.37,0.17,0.02,-0.01,1006.13,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.87,1006.31,1229.05,0:22:34.799,6/1/2080,0,0,,,,,,,,,
-1.37,-4.47,9.06,25.73,11.91,-28.37,0.17,0.01,0.01,1006.33,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.88,1006.35,1229.09,0:22:35.799,6/1/2080,0,0,,,,,,,,,
-1.33,-4.47,9.06,26.00,12.00,-27.96,0.17,0.01,0.01,1006.42,18.90,674,18.90,65535,65535,65535,65535,65535,0.00,18.97,1006.62,1229.42,0:22:36.799,6/1/2080,0,0,,,,,,,,,
-1.45,-4.51,9.06,25.73,12.64,-27.86,0.13,0.03,-0.04,1006.34,19.00,674,18.90,65535,65535,65535,65535,65535,0.00,18.97,1006.64,1229.44,0:22:37.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.16,8.47,25.55,13.00,-28.16,0.07,0.11,-0.10,1006.42,19.00,673,18.86,65535,65535,65535,65535,65535,0.00,18.97,1006.63,1229.43,0:22:39.799,6/1/2080,0,0,,,,,,,,,
-1.29,-4.04,8.83,27.00,6.00,-28.27,0.52,-0.09,0.04,1006.45,19.00,674,18.90,65535,65535,65535,65535,65535,0.00,18.99,1006.75,1229.57,0:22:40.799,6/1/2080,0,0,,,,,,,,,
0.00,-1.77,10.40,22.91,1.64,-32.55,0.74,-0.07,0.03,1006.72,19.00,673,18.86,65535,65535,65535,65535,65535,0.00,19.00,1006.73,1229.55,0:22:41.799,6/1/2080,0,0,,,,,,,,,
-1.14,-2.86,10.08,26.00,8.91,-29.18,0.38,-0.14,0.04,1006.71,19.00,671,18.78,65535,65535,65535,65535,65535,0.00,19.00,1006.73,1229.55,0:22:42.799,6/1/2080,0,0,,,,,,,,,
-1.14,-3.06,9.65,24.82,5.27,-30.82,0.05,0.15,0.00,1006.69,19.00,672,18.82,29671,63614,47275,30835,10829,7929.80,18.97,1006.64,1229.44,0:22:43.799,6/1/2080,0,0,,,,,,,,,
-2.51,-2.75,9.22,24.55,0.00,-31.02,0.19,-0.08,0.17,1006.81,19.00,674,18.90,65535,65535,65535,65535,65535,0.00,19.00,1006.71,1229.53,0:22:44.799,6/1/2080,0,0,,,,,,,,,
-1.57,-6.35,6.83,24.55,21.45,-24.90,0.20,0.06,-0.21,1006.76,19.00,674,18.90,65535,65535,65535,65535,65535,0.00,18.99,1006.67,1229.49,0:22:45.799,6/1/2080,0,0,,,,,,,,,
-1.37,-5.57,8.00,25.73,14.09,-28.06,0.60,0.03,0.04,1006.76,19.00,671,18.78,65535,65535,65535,65535,65535,0.00,18.98,1006.64,1229.45,0:22:46.799,6/1/2080,0,0,,,,,,,,,
-0.67,-6.35,8.87,24.55,13.45,-29.39,0.13,-0.11,0.26,1006.68,19.00,674,18.90,65535,65535,65535,65535,65535,0.00,19.01,1006.74,1229.57,0:22:47.799,6/1/2080,0,0,,,,,,,,,
-1.10,-5.37,8.51,24.82,10.91,-29.69,0.13,0.05,-0.06,1006.67,19.00,675,18.94,65535,65535,65535,65535,65535,0.00,19.01,1006.74,1229.57,0:22:48.799,6/1/2080,0,0,,,,,,,,,
